Transaction ID,Stage,Entity,Timestamp,RFID ID,GPS Latitude,GPS Longitude,Temperature,Humidity,Route ID,Speed,Delivery Status,Risk Factor,Delay Time,Cost,Disruption Type
TXN_1,Warehouse,Carrier B,52:52.3,RFID_100,35.92566464,-78.69147158,25.27163474,60.03971148,Route_1,45.42719682,In Transit,Traffic,1.862373827,374.1205658,Weather
TXN_2,Retailer,Warehouse C,52:52.3,RFID_101,37.70950474,-78.765106,30.85066287,76.38026305,Route_2,52.60920934,In Transit,Equipment Failure,8.965081355,359.277352,Traffic Jam
TXN_3,Manufacturing,Supplier A,52:52.3,RFID_102,39.36472918,-75.4687271,6.271055446,73.21126509,Route_3,86.90926539,In Transit,Weather,39.89979864,93.0893894,Equipment Failure
TXN_4,Warehouse,Supplier A,52:52.3,RFID_103,38.66112443,-78.752269,23.11933448,30.77299333,Route_4,40.60039475,In Transit,Equipment Failure,36.8048811,465.1575822,Strike
TXN_5,Warehouse,Supplier A,52:52.3,RFID_104,39.03280574,-78.64025137,20.72856924,30.44746288,Route_5,88.26847163,In Transit,Traffic,16.83084919,305.812491,Weather
TXN_6,Retailer,Supplier A,52:52.3,RFID_105,38.29391683,-76.20300869,32.47736696,38.77220574,Route_6,17.93209879,In Transit,Human Error,18.08691013,213.6764845,Weather
TXN_7,Manufacturing,Retailer D,52:52.3,RFID_106,38.46138282,-77.75130079,35.77391772,45.27523084,Route_7,79.91185935,Delivered,Equipment Failure,25.61061281,390.4423626,Weather
TXN_8,Manufacturing,Supplier A,52:52.3,RFID_107,39.24597826,-76.11644722,-4.452945284,48.5918907,Route_8,86.27928697,Delivered,Weather,0.011568225,165.8144563,Equipment Failure
TXN_9,Warehouse,Retailer D,52:52.3,RFID_108,36.24834004,-79.67316921,25.33089636,67.57880518,Route_9,26.36358876,In Transit,Human Error,11.57972813,362.0794267,Traffic Jam
TXN_10,Logistics,Retailer D,52:52.3,RFID_109,37.44712482,-77.56214403,-2.66738904,23.96763025,Route_10,48.73118791,In Transit,Equipment Failure,9.995126813,67.87004341,Traffic Jam
TXN_11,Warehouse,Supplier A,52:52.3,RFID_110,36.10604721,-79.831932,19.69863993,22.4270893,Route_11,24.89497972,In Transit,Equipment Failure,12.02318144,427.7336169,Weather
TXN_12,Warehouse,Supplier A,52:52.3,RFID_111,39.93834004,-79.68673398,7.943472807,47.43373941,Route_12,73.59437161,In Transit,Human Error,38.68348044,251.6768812,Strike
TXN_13,Warehouse,Carrier B,52:52.3,RFID_112,39.7202967,-75.46781273,8.804946978,68.80145845,Route_13,58.18129913,Delivered,Human Error,13.42434511,336.5118115,Weather
